Product Name,Product Address,Product Reviews
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
Long Street Backpackers,Cape Town,736 reviews
The Cape Milner,City B,444 reviews
The Verge Aparthotel,Sea Po,717 reviews
Antrim Villa by Antrim Collection,Three Anchor,226 reviews
Bliss Boutique Hotel,Milner,523 reviews
Protea Hotel Fire & Ice by Marriott Cape Town,Gard,537 reviews
Oak Manor,Newla,142 reviews
The Table Bay Hotel,V&A Waterfr,"1,889 reviews"
Hyatt Regency Cape Town,Cape Town,578 reviews
Cape Town Marriott Hotel Crystal Towers,Century C,357 reviews
The Clarendon - Bantry Bay,Bantry,116 reviews
Victoria & Alfred Hotel,V&A Waterfr,"2,727 reviews"
"Radisson Blu Hotel Waterfront, Cape Town",Mouille Po,"1,841 reviews"
Park Inn by Radisson Cape Town Newlands,Newla,"1,065 reviews"
Atlantic Affair Boutique Hotel,Sea Po,652 reviews
Urban Artisan Aparthotel by Totalstay,Woodst,203 reviews
The Grey Hotel,De Waterk,241 reviews
Hotel Sky Cape Town,Cape Town,891 reviews
Camps Bay Villa,Camps,174 reviews
aha Harbour Bridge Hotel & Suites,City B,527 reviews
Taj Cape Town,Cape Town,"1,652 reviews"
Harpers House,Green Po,133 reviews
Radisson RED Hotel V&A Waterfront Cape Town,V&A Waterfr,"1,937 reviews"
Cresta Grande Cape Town,Cape Town,557 reviews
The Rockwell Luxury Suites,De Waterk,"1,007 reviews"
